Economy_Label,CargoType_Code,CargoType_Label,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_Footnote,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_Footnote,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_Footnote,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_Footnote,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_Footnote,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_Footnote,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_Footnote,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_Footnote,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_Footnote,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_Footnote,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_Footnote,2023_Metric_tons_MissingValue
"Christmas Island",10,"Total goods loaded",163,"Mirror data - reported",,211,"Mirror data - majority reported",,217,"Mirror data - reported",,144,"Mirror data - majority reported",,141,"Mirror data - majority reported",,162,"Mirror data - majority reported",,101,"Mirror data - majority reported",,59,"Mirror data - reported",,54,"Mirror data - reported",,50,"Mirror data - majority reported",,38,"Mirror data - majority estimated",
"Cocos (Keeling) Islands",10,"Total goods loaded",1,"Mirror data - majority reported",,1,"Mirror data - majority reported",,2,"Mirror data - majority reported",,2,"Mirror data - majority reported",,1,"Mirror data - majority reported",,1,"Mirror data - majority reported",,0,"Mirror data - reported",,1,"Mirror data - reported",,1,"Mirror data - reported",,1,"Mirror data - majority reported",,1,"Mirror data - majority estimated",
"Colombia",10,"Total goods loaded",118925,"Mirror data - majority reported",,112578,"Mirror data - majority reported",,130307,"Mirror data - majority reported",,138359,"Mirror data - majority reported",,128288,"Mirror data - majority reported",,123609,"Mirror data - majority reported",,115342,"Mirror data - majority reported",,103394,"Mirror data - majority reported",,98454,"Mirror data - majority reported",,96950,"Mirror data - majority reported",,96432,"Mirror data - majority estimated",
"Comoros",10,"Total goods loaded",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
"Congo",10,"Total goods loaded",12232,"Mirror data - majority reported",,12131,"Mirror data - majority reported",,12464,"Mirror data - majority reported",,10940,"Mirror data - majority reported",,12497,"Mirror data - majority reported",,17013,"Mirror data - majority reported",,17093,"Mirror data - majority reported",,13566,"Mirror data - majority reported",,13781,"Mirror data - majority reported",,13931,"Mirror data - majority reported",,12978,"Mirror data - majority estimated",
"Cook Islands",10,"Total goods loaded",16,"Mirror data - majority reported",,11,"Mirror data - majority reported",,9,"Mirror data - majority reported",,11,"Mirror data - majority reported",,9,"Mirror data - majority reported",,6,"Mirror data - majority reported",,5,"Mirror data - majority reported",,4,"Mirror data - majority reported",,4,"Mirror data - majority reported",,3,"Mirror data - majority reported",,3,"Mirror data - majority estimated",
"Costa Rica",10,"Total goods loaded",5468,"Mirror data - majority reported",,5383,"Mirror data - majority reported",,5325,"Mirror data - majority reported",,5678,"Mirror data - majority reported",,6141,"Mirror data - majority reported",,6464,"Mirror data - majority reported",,6583,"Mirror data - majority reported",,5996,"Mirror data - majority reported",,6922,"Mirror data - majority reported",,6272,"Mirror data - majority reported",,6460,"Mirror data - majority estimated",
"Cote d'Ivoire",10,"Total goods loaded",5249,"Mirror data - majority reported",,5052,"Mirror data - majority reported",,6472,"Mirror data - majority reported",,5867,"Mirror data - majority reported",,6204,"Mirror data - majority reported",,6037,"Mirror data - majority reported",,6774,"Mirror data - majority reported",,6118,"Mirror data - majority reported",,6552,"Mirror data - majority reported",,7244,"Mirror data - majority reported",,7787,"Mirror data - majority estimated",
"Croatia",10,"Total goods loaded",6758,"Mirror data - majority reported",,7044,"Mirror data - majority reported",,7479,"Mirror data - majority reported",,7866,"Mirror data - majority reported",,8535,"Mirror data - majority reported",,8614,"Mirror data - majority reported",,8209,"Mirror data - majority reported",,8920,"Mirror data - majority reported",,10483,"Mirror data - majority reported",,9213,"Mirror data - majority reported",,7306,"Mirror data - majority reported",
"Cuba",10,"Total goods loaded",1982,"Mirror data - majority reported",,1802,"Mirror data - majority reported",,1996,"Mirror data - majority reported",,1240,"Mirror data - majority reported",,1842,"Mirror data - majority reported",,1113,"Mirror data - majority reported",,1477,"Mirror data - majority reported",,1710,"Mirror data - majority reported",,971,"Mirror data - majority reported",,901,"Mirror data - majority estimated",,806,"Mirror data - majority estimated",
"Curacao",10,"Total goods loaded",3958,"Mirror data - majority reported",,2388,"Mirror data - majority reported",,2441,"Mirror data - majority reported",,3100,"Mirror data - majority reported",,2398,"Mirror data - majority reported",,1139,"Mirror data - majority reported",,844,"Mirror data - majority reported",,909,"Mirror data - majority reported",,1204,"Mirror data - majority reported",,1106,"Mirror data - majority reported",,1201,"Mirror data - majority estimated",
