Economy_Label,CargoType_Code,CargoType_Label,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_Footnote,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_Footnote,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_Footnote,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_Footnote,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_Footnote,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_Footnote,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_Footnote,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_Footnote,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_Footnote,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_Footnote,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_Footnote,2023_Metric_tons_MissingValue
"State of Palestine",10,"Total goods loaded",76,"Mirror data - majority reported",,97,"Mirror data - majority reported",,90,"Mirror data - majority reported",,75,"Mirror data - majority reported",,116,"Mirror data - majority reported",,125,"Mirror data - majority reported",,123,"Mirror data - majority reported",,105,"Mirror data - majority reported",,105,"Mirror data - majority reported",,120,"Mirror data - majority reported",,169,"Mirror data - majority estimated",
"Sudan",10,"Total goods loaded",3928,"Mirror data - majority reported",,3661,"Mirror data - majority reported",,2839,"Mirror data - majority reported",,2061,"Mirror data - majority reported",,3074,"Mirror data - majority reported",,3194,"Mirror data - majority reported",,2599,"Mirror data - majority reported",,1990,"Mirror data - majority reported",,1645,"Mirror data - majority reported",,1965,"Mirror data - majority reported",,2428,"Mirror data - majority estimated",
"Sudan (...2011)",10,"Total goods loaded",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Suriname",10,"Total goods loaded",1824,"Mirror data - majority reported",,1879,"Mirror data - majority reported",,1611,"Mirror data - majority reported",,866,"Mirror data - majority reported",,829,"Mirror data - majority reported",,1055,"Mirror data - majority reported",,937,"Mirror data - majority reported",,865,"Mirror data - majority reported",,864,"Mirror data - majority reported",,872,"Mirror data - majority reported",,1078,"Mirror data - majority estimated",
"Sweden",10,"Total goods loaded",62317,"Mirror data - majority reported",,65662,"Mirror data - majority reported",,65840,"Mirror data - majority reported",,67641,"Mirror data - majority reported",,69071,"Mirror data - majority reported",,69404,"Mirror data - majority reported",,62740,"Mirror data - majority reported",,66249,"Mirror data - majority reported",,68437,"Mirror data - majority reported",,65447,"Mirror data - majority reported",,62521,"Mirror data - majority reported",
"Switzerland",10,"Total goods loaded",19004,"Mirror data - majority reported",,18523,"Mirror data - majority reported",,16188,"Mirror data - majority reported",,20183,"Mirror data - majority reported",,23738,"Mirror data - majority reported",,18194,"Mirror data - majority reported",,19115,"Mirror data - majority reported",,19190,"Mirror data - majority reported",,20961,"Mirror data - majority reported",,19525,"Mirror data - majority reported",,14109,"Mirror data - majority reported",
"Syrian Arab Republic",10,"Total goods loaded",797,"Mirror data - majority reported",,895,"Mirror data - majority reported",,698,"Mirror data - majority reported",,427,"Mirror data - majority reported",,385,"Mirror data - majority reported",,368,"Mirror data - majority reported",,337,"Mirror data - majority reported",,454,"Mirror data - majority reported",,577,"Mirror data - majority reported",,590,"Mirror data - majority estimated",,679,"Mirror data - majority estimated",
"Tajikistan",10,"Total goods loaded",269,"Mirror data - majority reported",,175,"Mirror data - majority reported",,209,"Mirror data - majority reported",,173,"Mirror data - majority reported",,320,"Mirror data - majority reported",,360,"Mirror data - majority reported",,355,"Mirror data - majority reported",,307,"Mirror data - majority reported",,316,"Mirror data - majority reported",,392,"Mirror data - majority reported",,378,"Mirror data - majority estimated",
"Thailand",10,"Total goods loaded",70729,"Mirror data - majority reported",,76901,"Mirror data - majority reported",,77702,"Mirror data - majority reported",,78459,"Mirror data - majority reported",,87320,"Mirror data - majority reported",,91097,"Mirror data - majority reported",,86934,"Mirror data - majority reported",,77534,"Mirror data - majority reported",,84895,"Mirror data - majority reported",,88040,"Mirror data - majority reported",,89471,"Mirror data - majority estimated",
"Timor-Leste",10,"Total goods loaded",636,"Mirror data - majority reported",,126,"Mirror data - majority reported",,687,"Mirror data - majority reported",,92,"Mirror data - majority reported",,153,"Mirror data - majority reported",,89,"Mirror data - majority reported",,193,"Mirror data - majority reported",,226,"Mirror data - majority reported",,488,"Mirror data - majority reported",,474,"Mirror data - majority reported",,277,"Mirror data - majority estimated",
"Togo",10,"Total goods loaded",2623,"Mirror data - majority reported",,3312,"Mirror data - majority reported",,2994,"Mirror data - majority reported",,2349,"Mirror data - majority reported",,3448,"Mirror data - majority reported",,3574,"Mirror data - majority reported",,4004,"Mirror data - majority reported",,3216,"Mirror data - majority reported",,4599,"Mirror data - majority reported",,3858,"Mirror data - majority reported",,3668,"Mirror data - majority estimated",
"Tokelau",10,"Total goods loaded",11,"Mirror data - majority reported",,7,"Mirror data - majority reported",,7,"Mirror data - majority reported",,9,"Mirror data - majority reported",,117,"Mirror data - majority reported",,14,"Mirror data - majority reported",,9,"Mirror data - majority reported",,48,"Mirror data - majority reported",,7,"Mirror data - majority reported",,40,"Mirror data - majority reported",,17,"Mirror data - majority estimated",
"Tonga",10,"Total goods loaded",12,"Mirror data - majority reported",,10,"Mirror data - majority reported",,9,"Mirror data - majority reported",,11,"Mirror data - majority reported",,12,"Mirror data - majority reported",,9,"Mirror data - majority reported",,10,"Mirror data - majority reported",,9,"Mirror data - majority reported",,12,"Mirror data - majority reported",,7,"Mirror data - majority estimated",,12,"Mirror data - majority estimated",
"Trinidad and Tobago",10,"Total goods loaded",32476,"Mirror data - majority reported",,29785,"Mirror data - majority reported",,29799,"Mirror data - majority reported",,26992,"Mirror data - majority reported",,26575,"Mirror data - majority reported",,28298,"Mirror data - majority reported",,30529,"Mirror data - majority reported",,27117,"Mirror data - majority reported",,26286,"Mirror data - majority reported",,25495,"Mirror data - majority reported",,23827,"Mirror data - majority estimated",
"Tunisia",10,"Total goods loaded",7355,"Mirror data - majority reported",,6284,"Mirror data - majority reported",,5458,"Mirror data - majority reported",,5890,"Mirror data - majority reported",,5765,"Mirror data - majority reported",,7278,"Mirror data - majority reported",,6749,"Mirror data - majority reported",,5944,"Mirror data - majority reported",,6922,"Mirror data - majority reported",,7560,"Mirror data - majority reported",,7769,"Mirror data - majority estimated",
"Turkiye",10,"Total goods loaded",52917,"Mirror data - majority reported",,54399,"Mirror data - majority reported",,54562,"Mirror data - majority reported",,57701,"Mirror data - majority reported",,63638,"Mirror data - majority reported",,77870,"Mirror data - majority reported",,89464,"Mirror data - majority reported",,90241,"Mirror data - majority reported",,103876,"Mirror data - majority reported",,107116,"Mirror data - majority reported",,90151,"Mirror data - majority reported",
"Turkmenistan",10,"Total goods loaded",21344,"Mirror data - majority reported",,21718,"Mirror data - majority reported",,24334,"Mirror data - majority reported",,25822,"Mirror data - majority reported",,27386,"Mirror data - majority reported",,20113,"Mirror data - majority reported",,34042,"Mirror data - majority reported",,41586,"Mirror data - majority reported",,22122,"Mirror data - majority reported",,12579,"Mirror data - majority reported",,23862,"Mirror data - majority estimated",
"Turks and Caicos Islands",10,"Total goods loaded",43,"Mirror data - majority reported",,23,"Mirror data - majority reported",,58,"Mirror data - majority reported",,36,"Mirror data - majority reported",,12,"Mirror data - majority reported",,51,"Mirror data - majority reported",,191,"Mirror data - majority reported",,165,"Mirror data - majority reported",,60,"Mirror data - majority reported",,48,"Mirror data - majority reported",,93,"Mirror data - majority estimated",
"Tuvalu",10,"Total goods loaded",10,"Mirror data - majority reported",,4,"Mirror data - majority reported",,6,"Mirror data - majority reported",,7,"Mirror data - majority reported",,5,"Mirror data - majority reported",,18,"Mirror data - majority reported",,14,"Mirror data - majority reported",,9,"Mirror data - majority reported",,20,"Mirror data - majority reported",,36,"Mirror data - majority reported",,30,"Mirror data - majority estimated",
"Uganda",10,"Total goods loaded",469,"Mirror data - majority reported",,622,"Mirror data - majority reported",,716,"Mirror data - majority reported",,591,"Mirror data - majority reported",,659,"Mirror data - majority reported",,849,"Mirror data - majority reported",,839,"Mirror data - majority reported",,968,"Mirror data - majority reported",,1113,"Mirror data - majority reported",,1277,"Mirror data - majority reported",,1546,"Mirror data - majority estimated",
"Ukraine",10,"Total goods loaded",101037,"Mirror data - majority reported",,98103,"Mirror data - majority reported",,84790,"Mirror data - majority reported",,77505,"Mirror data - majority reported",,78906,"Mirror data - majority reported",,81712,"Mirror data - majority reported",,85873,"Mirror data - majority reported",,80516,"Mirror data - majority reported",,82541,"Mirror data - majority reported",,54536,"Mirror data - majority reported",,55475,"Mirror data - majority reported",
"United Arab Emirates",10,"Total goods loaded",210547,"Mirror data - majority reported",,214192,"Mirror data - majority reported",,204328,"Mirror data - majority reported",,235710,"Mirror data - majority reported",,244808,"Mirror data - majority reported",,251286,"Mirror data - majority reported",,271373,"Mirror data - majority reported",,262186,"Mirror data - majority reported",,292784,"Mirror data - majority reported",,329717,"Mirror data - majority reported",,308977,"Mirror data - majority estimated",
"United Kingdom",10,"Total goods loaded",148693,"Mirror data - majority reported",,145145,"Mirror data - majority reported",,146054,"Mirror data - majority reported",,152688,"Mirror data - majority reported",,161216,"Mirror data - majority reported",,152812,"Mirror data - majority reported",,150410,"Mirror data - majority reported",,136777,"Mirror data - majority reported",,127216,"Mirror data - majority reported",,142855,"Mirror data - majority reported",,128239,"Mirror data - majority reported",
"United Republic of Tanzania",10,"Total goods loaded",977,"Mirror data - majority reported",,929,"Mirror data - majority reported",,958,"Mirror data - majority reported",,1078,"Mirror data - majority reported",,1192,"Mirror data - majority reported",,1159,"Mirror data - majority reported",,1319,"Mirror data - majority reported",,1366,"Mirror data - majority reported",,1604,"Mirror data - majority reported",,2040,"Mirror data - majority reported",,2411,"Mirror data - majority estimated",
"United States",10,"Total goods loaded",574761,"Mirror data - majority reported",,620893,"Mirror data - majority reported",,586744,"Mirror data - majority reported",,614934,"Mirror data - majority reported",,689609,"Mirror data - majority reported",,773745,"Mirror data - majority reported",,774125,"Mirror data - majority reported",,774287,"Mirror data - majority reported",,883911,"Mirror data - majority reported",,952498,"Mirror data - majority reported",,920409,"Mirror data - majority reported",
"United States Minor Outlying Islands",10,"Total goods loaded",1,"Mirror data - majority reported",,1,"Mirror data - majority reported",,18,"Mirror data - majority reported",,1,"Mirror data - majority reported",,2,"Mirror data - majority reported",,1,"Mirror data - majority reported",,41,"Mirror data - majority reported",,4,"Mirror data - majority reported",,1,"Mirror data - majority reported",,1,"Mirror data - majority estimated",,75,"Mirror data - majority estimated",
"Uruguay",10,"Total goods loaded",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
"Uzbekistan",10,"Total goods loaded",3194,"Mirror data - majority reported",,2727,"Mirror data - majority reported",,2091,"Mirror data - majority reported",,3401,"Mirror data - majority reported",,3863,"Mirror data - majority reported",,3191,"Mirror data - majority reported",,5955,"Mirror data - majority reported",,4927,"Mirror data - majority reported",,3981,"Mirror data - majority reported",,2822,"Mirror data - majority reported",,4149,"Mirror data - majority reported",
"Vanuatu",10,"Total goods loaded",139,"Mirror data - majority reported",,151,"Mirror data - majority reported",,200,"Mirror data - majority reported",,145,"Mirror data - majority reported",,115,"Mirror data - majority reported",,134,"Mirror data - majority reported",,75,"Mirror data - majority reported",,95,"Mirror data - majority reported",,114,"Mirror data - majority reported",,114,"Mirror data - majority estimated",,92,"Mirror data - majority estimated",
"Venezuela (Bolivarian Rep. of)",10,"Total goods loaded",123615,"Mirror data - majority reported",,110444,"Mirror data - majority reported",,122302,"Mirror data - majority reported",,115912,"Mirror data - majority reported",,95404,"Mirror data - majority reported",,74083,"Mirror data - majority reported",,46159,"Mirror data - majority reported",,21477,"Mirror data - majority reported",,11344,"Mirror data - majority reported",,12949,"Mirror data - majority reported",,21917,"Mirror data - majority estimated",
"Viet Nam",10,"Total goods loaded",64295,"Mirror data - majority reported",,68458,"Mirror data - majority reported",,66039,"Mirror data - majority reported",,63137,"Mirror data - majority reported",,73877,"Mirror data - majority reported",,82854,"Mirror data - majority reported",,87002,"Mirror data - majority reported",,93409,"Mirror data - majority reported",,103729,"Mirror data - majority reported",,108145,"Mirror data - majority reported",,119849,"Mirror data - majority reported",
"Wallis and Futuna Islands",10,"Total goods loaded",0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority reported",,1,"Mirror data - majority reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority estimated",
"Western Sahara",10,"Total goods loaded",0,"Mirror data - reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority reported",,0,"Mirror data - majority reported",,5,"Mirror data - majority reported",,0,"Mirror data - majority reported",,10,"Mirror data - majority reported",,7,"Mirror data - majority reported",,12,"Mirror data - majority reported",,0,"Mirror data - majority estimated",,12,"Mirror data - majority estimated",
"Yemen",10,"Total goods loaded",11272,"Mirror data - majority reported",,9774,"Mirror data - majority reported",,3237,"Mirror data - majority reported",,674,"Mirror data - majority reported",,2434,"Mirror data - majority reported",,1905,"Mirror data - majority reported",,2419,"Mirror data - majority reported",,2371,"Mirror data - majority reported",,2689,"Mirror data - majority reported",,1892,"Mirror data - majority estimated",,654,"Mirror data - majority estimated",
"Zambia",10,"Total goods loaded",1368,"Mirror data - majority reported",,1369,"Mirror data - majority reported",,1485,"Mirror data - majority reported",,1258,"Mirror data - majority reported",,1451,"Mirror data - majority reported",,1632,"Mirror data - majority reported",,1404,"Mirror data - majority reported",,1274,"Mirror data - majority reported",,1434,"Mirror data - majority reported",,1547,"Mirror data - majority reported",,1512,"Mirror data - majority estimated",
"Zimbabwe",10,"Total goods loaded",787,"Mirror data - majority reported",,982,"Mirror data - majority reported",,830,"Mirror data - majority reported",,614,"Mirror data - majority reported",,595,"Mirror data - majority reported",,813,"Mirror data - majority reported",,715,"Mirror data - majority reported",,868,"Mirror data - majority reported",,1091,"Mirror data - majority reported",,1607,"Mirror data - majority estimated",,1312,"Mirror data - majority estimated",
