Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Sao Tome and Principe,4.0,11.0,5.0,15.0,11.0,7.0,4.0,8.0,10.0,8.0,59.0
Saudi Arabia,434715.0,425621.0,364217.0,449310.0,438644.0,455583.0,447410.0,427644.0,418506.0,474397.0,453343.0
Senegal,2077.0,2240.0,3031.0,2802.0,3352.0,3255.0,3703.0,3386.0,3559.0,3891.0,3692.0
Serbia,4002.0,4290.0,4741.0,4926.0,5527.0,5527.0,6018.0,5916.0,6404.0,6019.0,5384.0
Seychelles,481.0,554.0,427.0,226.0,306.0,251.0,235.0,233.0,259.0,236.0,180.0
Sierra Leone,2836.0,4399.0,839.0,1014.0,1991.0,693.0,556.0,574.0,824.0,1745.0,2245.0
Singapore,92075.0,99540.0,103870.0,106960.0,125516.0,125022.0,117230.0,107264.0,110976.0,114689.0,102112.0
Sint Maarten (Dutch part),13.0,18.0,48.0,20.0,27.0,20.0,26.0,16.0,51.0,25.0,25.0
Slovakia,18993.0,19371.0,19989.0,20505.0,20890.0,21286.0,19920.0,19539.0,20988.0,20569.0,19471.0
Slovenia,9153.0,10081.0,10744.0,11574.0,11750.0,12552.0,12388.0,11879.0,12450.0,13133.0,12689.0
Solomon Islands,2058.0,2116.0,2158.0,1954.0,2603.0,2568.0,2302.0,1872.0,1604.0,1425.0,1479.0
Somalia,62.0,73.0,77.0,64.0,56.0,46.0,53.0,56.0,84.0,43.0,61.0
South Africa,112385.0,113047.0,115678.0,108002.0,123407.0,121310.0,123294.0,115597.0,125368.0,126197.0,124433.0
South Georgia and the South Sandwich Islands,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
South Sudan,3480.0,6510.0,6584.0,4535.0,3581.0,3630.0,3595.0,2122.0,1082.0,740.0,1037.0
Spain,98829.0,103056.0,105620.0,105761.0,114039.0,114854.0,116232.0,111442.0,118923.0,123983.0,128141.0
Sri Lanka,2075.0,2105.0,2168.0,2274.0,2267.0,2357.0,2314.0,2375.0,3035.0,2495.0,2252.0
State of Palestine,76.0,97.0,90.0,75.0,116.0,125.0,123.0,105.0,105.0,120.0,169.0
Sudan,3928.0,3661.0,2839.0,2061.0,3074.0,3194.0,2599.0,1990.0,1645.0,1965.0,2428.0
Suriname,1824.0,1879.0,1611.0,866.0,829.0,1055.0,937.0,865.0,864.0,872.0,1078.0
Sweden,62317.0,65662.0,65840.0,67641.0,69071.0,69404.0,62740.0,66249.0,68437.0,65447.0,62521.0
Switzerland,19004.0,18523.0,16188.0,20183.0,23738.0,18194.0,19115.0,19190.0,20961.0,19525.0,14109.0
Syrian Arab Republic,797.0,895.0,698.0,427.0,385.0,368.0,337.0,454.0,577.0,590.0,679.0
Tajikistan,269.0,175.0,209.0,173.0,320.0,360.0,355.0,307.0,316.0,392.0,378.0
Thailand,70729.0,76901.0,77702.0,78459.0,87320.0,91097.0,86934.0,77534.0,84895.0,88040.0,89471.0
Timor-Leste,636.0,126.0,687.0,92.0,153.0,89.0,193.0,226.0,488.0,474.0,277.0
Togo,2623.0,3312.0,2994.0,2349.0,3448.0,3574.0,4004.0,3216.0,4599.0,3858.0,3668.0
Tokelau,11.0,7.0,7.0,9.0,117.0,14.0,9.0,48.0,7.0,40.0,17.0
Tonga,12.0,10.0,9.0,11.0,12.0,9.0,10.0,9.0,12.0,7.0,12.0
